Block,Borough,OBJECTID,the_geom,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteTy,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
58,SI,1,"MULTIPOLYGON (((-74.09145318437722 40.64302777925549, -74.0914226952439 40.64292509393507, -74.09141559050897 40.64290116559638, -74.09193861393133 40.64281408091465, -74.09199788584148 40.64301370463047, -74.09147486211141 40.6431007877779, -74.09145318437722 40.64302777925549)))",27,105 Franklin Avenue,5000580027,105 Franklin Avenue House,LP-00330,"Borough of Richmond Tax Map Block 58, Lot 27.",Block and Lot,Designated,also known as Hamilton Park Cottage,10/13/1970 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0330.pdf,446.281128563,11078.2500008
2390,SI,2,"MULTIPOLYGON (((-74.15192193203103 40.58295935113143, -74.15199518138745 40.58288801641335, -74.15215337886444 40.582733954108804, -74.15247184698494 40.582423803506025, -74.15272952955463 40.582172847802504, -74.15296199479684 40.58195613874219, -74.15319779377069 40.58173622969653, -74.15365082355952 40.58131236615992, -74.15546730853794 40.58228484825162, -74.15521015324731 40.582544486854516, -74.15499265202463 40.582764088068885, -74.15485465512855 40.58290341518706, -74.1546353780847 40.583124805650435, -74.15442489163436 40.58333731820453, -74.15429451665634 40.58346894841315, -74.1540823617615 40.58368314295034, -74.1538660445052 40.58390153911068, -74.15378788683677 40.58398044509553, -74.15192193203103 40.58295935113143)))",194,435 Richmond Hill Road,5023900194,Decker Farmhouse,LP-00369,"Borough of Richmond Tax Map Block 2390, Lot 194.",Block and Lot,Designated,,12/13/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0369.pdf,2797.2094166,484779.747766
506,SI,3,"MULTIPOLYGON (((-74.07790665812381 40.633789806562795, -74.07804551835702 40.63347318428897, -74.07821373514767 40.63351538900072, -74.07824844370965 40.63340783344859, -74.07876953467904 40.63351164344522, -74.07861592335307 40.63398765872439, -74.07790665812381 40.633789806562795)))",81,98 Grant Street,5005060081,Public School 15 (Daniel D. Tompkins School),LP-01877,"Borough of Staten Island Tax Map Block 506, Lot 81.",Block and Lot,Designated,,11/19/1996 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1877.pdf,748.859028918,32265.5964126
1015,SI,4,"MULTIPOLYGON (((-74.13066516743713 40.6371690161479, -74.13072495718542 40.63691020093058, -74.13103559533656 40.637045723193495, -74.1309316110044 40.63718933677412, -74.13066516743713 40.6371690161479)))",9,121 Heberton Avenue,5010150009,121 Heberton Avenue House,LP-02120,"Borough of the Staten Island Tax Map Block 1015, Lot 9.",Block and Lot,Designated,,12/17/2002 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2120.pdf,329.167837419,6515.86113188
2281,SI,5,"MULTIPOLYGON (((-74.13863423148463 40.57340207534613, -74.13828945441671 40.57282106470816, -74.13880797871434 40.5727586353537, -74.1391671783256 40.57336393936442, -74.13864864848189 40.57342636943774, -74.13863423148463 40.57340207534613)))",155,3531 Richmond Road,5022810155,Reverend David Moore House,LP-00366,"Borough of Richmond Tax Map Block 2282, Lot 155.",Block and Lot,Designated,also known as the Moore-McMillen House,08/24/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0366.pdf,775.77893649,34036.911836
230,SI,6,"MULTIPOLYGON (((-74.12325538146878 40.62867685040772, -74.12357012115466 40.62855026769091, -74.12381705023212 40.628925175092235, -74.12352511312113 40.6290436283973, -74.12350296352706 40.62905275195171, -74.12325538146878 40.62867685040772)))",33,752 Delafield Avenue,5002300033,752 Delafield Avenue,LP-00342,"Borough of Richmond Tax Map Block 230, Lot 33.",Block and Lot,Designated,also known as the Scott-Edwards House,08/24/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0342.pdf,503.637256342,15112.0037124
514,SI,7,"MULTIPOLYGON (((-74.07822630434423 40.63147388536034, -74.07836583204387 40.63120060057565, -74.07854191260495 40.63125246743388, -74.0784016590792 40.631527178448685, -74.07822630434423 40.63147388536034)))",30,63 William Street,5005140030,Mary and David Burgher House,LP-02367,"Borough of Staten Island Tax Map Block 514, Lot 30",Block and Lot,Designated,,01/12/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2367.pdf,319.023316589,5612.60159756
7,SI,8,"MULTIPOLYGON (((-74.07652014713315 40.64254697063377, -74.07583998709484 40.64285078160644, -74.07552349197438 40.64243486565573, -74.07550965769406 40.64241378009183, -74.07549718616237 40.642387177054445, -74.07549209538855 40.64237129164591, -74.07548860383352 40.64235514673852, -74.07548669084056 40.642338248861755, -74.07548654713798 40.64232094819217, -74.07548849285463 40.642301983793665, -74.07549314752903 40.642281418295596, -74.07549817411382 40.64226669962066, -74.07550309805296 40.64225529852352, -74.07551133339967 40.64223979519043, -74.07553383326837 40.64220357146001, -74.0755553014688 40.64217606182123, -74.07557079369755 40.642159011127156, -74.0755857423364 40.64214424720504, -74.07560790531029 40.6421248066472, -74.07562850113084 40.64210888724309, -74.07565109059395 40.64209339066809, -74.07567398447728 40.64207947249749, -74.07570302993172 40.642064040102994, -74.07572376756845 40.64205436658577, -74.07574306590627 40.64204627532356, -74.07575995802308 40.64203986060805, -74.07577520226826 40.642034578027314, -74.07579065620723 40.64202969063406, -74.0758041890169 40.642025782468416, -74.07582035892159 40.64202155107732, -74.07584186799453 40.642016635370744, -74.07585994438857 40.642013112325394, -74.0758807186946 40.64200972887845, -74.07590719602092 40.6420064713381, -74.07593036064874 40.642005113371866, -74.0759489717323 40.642005011930436, -74.07596762401495 40.642005792966984, -74.07598941881447 40.64200783895384, -74.07601130254258 40.64201115370857, -74.07602893193081 40.64201478105025, -74.07604614253603 40.642019191217, -74.07606634510475 40.64202553551714, -74.07608444750554 40.64203238729483, -74.07610828816112 40.64204330021334, -74.0761197020489 40.64204938466748, -74.07613066711288 40.642055825122405, -74.07614228008072 40.64206335567545, -74.07615325624894 40.6420712351498, -74.0761648451781 40.64208048660755, -74.07617526614537 40.642089772157135, -74.07618691699629 40.64210148108709, -74.07652014713315 40.64254697063377)))",1,2-10 Richmond Terrace,5000070001,Staten Island Borough Hall,LP-01207,"Borough of Staten Island Tax Map Block 7, Lot 1.",Block and Lot,Designated,,03/23/1982 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1207.pdf,889.184902303,54479.5138401
2268,SI,9,"MULTIPOLYGON (((-74.1329850241124 40.57839968605887, -74.13348414712823 40.57827000883396, -74.13350504313125 40.5783158356928, -74.13359250651683 40.57850764313701, -74.13359676558963 40.578506536842056, -74.13362632152032 40.57857135198646, -74.13362206244572 40.57857245918297, -74.13364344263157 40.57861934446998, -74.13374701650542 40.57884648046266, -74.13350290223742 40.578868489560534, -74.13322274921336 40.57892102451172, -74.1329850241124 40.57839968605887)))",180,190 Meisner Avenue,5022680180,Nathaniel J. and Ann C. Wyeth House,LP-02253,"Borough of Staten Island Tax Map Block 2268, Lot 180",Block and Lot,Designated,,05/15/2007 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2253.pdf,720.846442823,30706.2994361
64,SI,10,"MULTIPOLYGON (((-74.09235803508132 40.641730382892355, -74.09236110522806 40.6417278310577, -74.09237056605393 40.64172000515396, -74.09238169617474 40.64171051014753, -74.09239375624978 40.64169985722608, -74.09240642378798 40.64168822405076, -74.0924179726373 40.641677199623224, -74.09243163992771 40.64166359530629, -74.09244579499874 40.64164880911484, -74.09246070912097 40.64163238606857, -74.0924750907926 40.64161563025648, -74.09248857181777 40.64159900664274, -74.0925020349174 40.641581396073065, -74.09251420095657 40.64156449345264, -74.09252626403837 40.64154666518029, -74.0925370703989 40.64152964838497, -74.09254262218802 40.64152046582886, -74.09254922192753 40.64150911578076, -74.09255563109045 40.64149759028444, -74.09256191568778 40.64148575150738, -74.09258755017716 40.6414278896425, -74.09300957674532 40.64161062456577, -74.09282277745368 40.64190187182138, -74.092725341983 40.6419736209214, -74.092669865413 40.64201447265146, -74.09235803508132 40.641730382892355)))",155,22 Pendleton Place,5000640155,22 Pendleton Place House,LP-00332,"Borough of Richmond Tax Map Block 64, Lot 155.",Block and Lot,Designated,also known as the W. S. Pendleton House,03/04/1969 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0332.pdf,575.20554756,20375.87832
