id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,activity,occupancy_%,how_far_km
2595,Manhattan,Midtown,40.75362,-73.98376999999999,Entire home/apt,225,1,45,2019-05-21,0.38,2,355,Active,3.0,7.330251322751322
3831,Brooklyn,Clinton Hill,40.685140000000004,-73.95976,Entire home/apt,89,1,270,2019-05-07,4.64,1,194,Active,47.0,9.695046296296297
5099,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,2019-06-22,0.59,1,129,Active,65.0,7.263750000000001
5178,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,2019-06-24,3.47,1,220,Active,40.0,7.695760582010582
5238,Manhattan,Chinatown,40.713440000000006,-73.99037,Entire home/apt,150,1,160,2019-09-06,1.33,4,188,Active,48.0,7.823571428571428
5295,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,2019-06-22,0.43,1,6,Active,98.0,9.935185185185183
5441,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,2019-06-23,1.5,1,39,Active,89.0,7.604682539682538
5803,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,2019-06-24,1.34,3,314,Active,14.0,10.701580687830688
6021,Manhattan,Upper West Side,40.79826,-73.96113000000001,Private room,85,2,113,2019-05-07,0.91,1,333,Active,9.0,9.589715608465607
6848,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,2019-06-29,1.2,1,46,Active,87.0,8.575145502645503
7097,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,2019-06-28,1.72,1,321,Active,12.0,9.072870370370369
7322,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2019-01-07,2.12,1,12,Active,97.0,7.365734126984128
7726,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,2019-06-22,4.44,1,21,Active,94.0,10.630886243386243
8024,Brooklyn,Park Slope,40.680690000000006,-73.97706,Private room,130,2,130,2019-01-07,1.09,6,347,Active,5.0,9.768525132275133
8025,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,2019-01-01,0.37,6,364,Active,0.0,9.82135582010582
8110,Brooklyn,Park Slope,40.680009999999996,-73.97865,Private room,110,2,71,2019-02-07,0.61,6,304,Active,17.0,9.808895502645505
8490,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,2019-06-19,0.73,2,233,Active,36.0,10.30982804232804
8505,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,2019-06-23,1.37,2,85,Active,77.0,11.726666666666668
9518,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,2019-06-15,1.11,3,311,Active,15.0,16.050482804232804
9657,Manhattan,East Village,40.7292,-73.98541999999999,Entire home/apt,180,14,29,2019-04-19,0.24,1,67,Active,82.0,7.342433862433862
9668,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2019-01-06,2.04,3,355,Active,3.0,11.604398148148151
9704,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,2019-06-14,1.42,1,255,Active,30.0,10.775238095238096
9782,Brooklyn,Greenpoint,40.722190000000005,-73.93762,Private room,55,4,197,2019-06-15,1.65,3,284,Active,22.0,8.65799603174603
9783,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2019-01-07,2.37,3,359,Active,2.0,11.485152116402116
10452,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,2019-12-05,0.66,2,269,Active,26.0,9.941190476190476
10962,Brooklyn,South Slope,40.668690000000005,-73.9878,Private room,89,4,168,2019-06-21,1.41,3,340,Active,7.0,10.669755291005293
11708,Brooklyn,Bushwick,40.701859999999996,-73.92745,Entire home/apt,85,2,231,2019-06-22,1.96,2,22,Active,94.0,9.812261904761906
12048,Manhattan,Lower East Side,40.714009999999995,-73.98917,Shared room,40,1,214,2019-05-07,1.81,4,188,Active,48.0,7.796461640211639
12192,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2019-06-21,2.08,2,96,Active,74.0,7.503736772486772
12299,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,2019-05-27,0.39,1,345,Active,5.0,11.145218253968252
12318,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,2019-06-16,0.69,1,273,Active,25.0,9.034173280423278
12343,Manhattan,Harlem,40.81175,-73.94478000000001,Entire home/apt,150,7,97,2019-06-13,0.84,1,309,Active,15.0,10.803968253968254
12627,Brooklyn,Prospect-Lefferts Gardens,40.659440000000004,-73.96238000000001,Entire home/apt,150,29,11,2019-05-06,0.49,1,95,Active,74.0,11.57035052910053
12937,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,2019-01-07,2.25,1,215,Active,41.0,7.9482341269841275
12940,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,2019-05-25,0.52,1,265,Active,27.0,10.048392857142858
13394,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,2019-06-17,1.16,2,192,Active,47.0,9.067539682539682
13808,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,2019-06-16,1.01,3,251,Active,31.0,10.55103835978836
14287,Manhattan,Upper West Side,40.78635,-73.97008000000001,Entire home/apt,151,2,73,2019-07-07,0.63,1,302,Active,17.0,8.739570105820105
14290,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,2019-05-17,0.7,1,140,Active,62.0,9.375449735449736
